ingest_date,Bin_Negativxe,Bin_Positive,Neutral,bin_net_sentement,brand_watch_net_sentiment,
8/12/20,45,82,11,1.46,-0.99,
8/13/20,60,90,1,1,-0.03,
8/14/20,35,92,3,2.24,-0.56,
8/15/20,16,56,3,2.78,-0.97,
8/16/20,19,42,4,1.89,-0.41,
8/17/20,43,91,6,1.79,-0.63,
8/18/20,54,103,9,1.56,0.67,
8/19/20,49,78,10,1.14,-0.02,
8/20/20,62,78,8,0.57,0.98,
8/21/20,50,62,4,0.54,0.54,
8/22/20,27,39,5,0.91,1.60,
8/23/20,22,37,5,1.27,1.67,
8/24/20,75,124,14,1.23,2.17,
8/25/20,30,64,9,1.81,2.61,
8/26/20,27,67,7,2.13,1.83,
8/27/20,95,184,21,1.59,0.83,
8/28/20,100,80,3,-0.56,2.02,
8/29/20,25,34,3,0.76,2.05,
8/30/20,29,37,3,0.61,2.07,
8/31/20,68,69,7,0.04,1.48,
9/1/20,43,76,11,1.39,2.21,
9/2/20,72,95,5,0.69,0.89,
9/3/20,48,59,9,0.51,-0.12,
9/4/20,30,49,2,1.2,1.09,
9/5/20,9,26,1,2.43,2.32,
9/6/20,10,26,3,2.22,0.64,
9/7/20,28,22,3,-0.6,-0.14,
9/8/20,113,47,4,-2.06,0.17,
9/9/20,53,55,6,0.09,1.09,
