Date,Net Sentiment,Source
8/12/20,1.46,Cline Center
8/13/20,1,Cline Center
8/14/20,2.24,Cline Center
8/15/20,2.78,Cline Center
8/16/20,1.89,Cline Center
8/17/20,1.79,Cline Center
8/18/20,1.56,Cline Center
8/19/20,1.14,Cline Center
8/20/20,0.57,Cline Center
8/21/20,0.54,Cline Center
8/22/20,0.91,Cline Center
8/23/20,1.27,Cline Center
8/24/20,1.23,Cline Center
8/25/20,1.81,Cline Center
8/26/20,2.13,Cline Center
8/27/20,1.59,Cline Center
8/28/20,-0.56,Cline Center
8/29/20,0.76,Cline Center
8/30/20,0.61,Cline Center
8/31/20,0.04,Cline Center
9/1/20,1.39,Cline Center
9/2/20,0.69,Cline Center
9/3/20,0.51,Cline Center
9/4/20,1.2,Cline Center
9/5/20,2.43,Cline Center
9/6/20,2.22,Cline Center
9/7/20,-0.6,Cline Center
9/8/20,-2.06,Cline Center
9/9/20,0.09,Cline Center
8/12/20,-0.99,Brand Watch
8/13/20,-0.03,Brand Watch
8/14/20,-0.56,Brand Watch
8/15/20,-0.97,Brand Watch
8/16/20,-0.41,Brand Watch
8/17/20,-0.63,Brand Watch
8/18/20,0.67,Brand Watch
8/19/20,-0.02,Brand Watch
8/20/20,0.98,Brand Watch
8/21/20,0.54,Brand Watch
8/22/20,1.6,Brand Watch
8/23/20,1.67,Brand Watch
8/24/20,2.17,Brand Watch
8/25/20,2.61,Brand Watch
8/26/20,1.83,Brand Watch
8/27/20,0.83,Brand Watch
8/28/20,2.02,Brand Watch
8/29/20,2.05,Brand Watch
8/30/20,2.07,Brand Watch
8/31/20,1.48,Brand Watch
9/1/20,2.21,Brand Watch
9/2/20,0.89,Brand Watch
9/3/20,-0.12,Brand Watch
9/4/20,1.09,Brand Watch
9/5/20,2.32,Brand Watch
9/6/20,0.64,Brand Watch
9/7/20,-0.14,Brand Watch
9/8/20,0.17,Brand Watch
9/9/20,1.09,Brand Watch
